user_id,page_name,time_spent
1,"['Cardiac_muscle', 'Anus', 'Pulmonary_alveolus', 'Loose_connective_tissue', 'Peripheral_nervous_system']","[1641.0, 679.0, 1347.0, 615.0, 0.0]"
2,"['Skeletal_animation', 'Merkel_cell', 'Duodenum', 'Brainstem', 'Lymph_node']","[2383.0, 1425.0, 3125.0, 2400.0, 0.0]"
3,"['Mammary_gland', 'Mucous_membrane', 'Tonsil', 'Apoptosis', 'Thyroid']","[285.0, 1278.0, 3327.0, 3210.0, 0.0]"
4,"['Atrium_(heart)', 'Urinary_cast', 'Urinary_retention', 'Axon_terminal', 'Protein']","[808.0, 162.0, 2276.0, 3379.0, 0.0]"
5,"['Ceruminous_gland', 'Paranasal_sinuses', 'Myelin', 'Mouth', 'Atrium_(heart)']","[2331.0, 2755.0, 210.0, 2345.0, 0.0]"
6,"['Nasal_cavity', 'Respiratory_System', 'Lacrimal_gland', 'Spleen', 'Pituitary_gland']","[3207.0, 2645.0, 3519.0, 715.0, 0.0]"
7,"['Stratum_corneum', 'Red_blood_cell', 'Arterial_tree', 'Integumentary_system', 'Blood']","[1470.0, 2714.0, 3270.0, 2526.0, 0.0]"
8,"['Integumentary_system', 'Thymus', 'Enteric_nervous_system', 'Brain', 'Motor_nerve']","[417.0, 831.0, 3386.0, 599.0, 0.0]"
9,"['Urinary_tract_obstruction', 'Skeletal_animation', 'Central_nervous_system', 'Subcutaneous_tissue', 'Superior_vena_cava']","[3037.0, 936.0000000000001, 515.0, 3110.0, 0.0]"
10,"['Platelet', 'Lymphatic_vessel', 'Respiratory_tract', 'Platelet', 'Bronchus']","[125.00000000000001, 3132.0, 3213.0, 1317.0, 0.0]"
11,"['Urinary_meatus', 'Portal_venous_system', 'Skeletonization', 'Pancreas', 'Vein']","[386.0, 896.0, 1095.0, 2042.0000000000002, 0.0]"
12,"['Blood_plasma', 'Urinary_catheterization', 'Prefrontal_cortex', 'Protein', 'Female_reproductive_system']","[572.0, 1256.0, 356.0, 2972.0, 0.0]"
13,"['Bronchus', 'Subcutaneous_tissue', 'Lymphatic_system', 'Merkel_cell', 'Hypothalamus']","[1508.0, 2853.0, 1871.0000000000002, 3097.0, 0.0]"
14,"['Pineal_gland', 'Cerebellum', 'Axon', 'Muscle_relaxant', 'Urinary_System']","[850.0, 2244.0, 2259.0, 1152.0, 0.0]"
15,"['Axon', 'B_cell', 'Thymus', 'Nervous_system', 'White_blood_cell']","[1724.0, 236.00000000000003, 549.0, 3248.0, 0.0]"
16,"['Nostril', 'Skeletal_System', 'Stratum_spinosum', 'Neural_circuit', 'Muscle_relaxant']","[86.0, 3286.0, 2008.0000000000002, 208.0, 0.0]"
17,"['Skeletal_formula', 'Gland', 'Sweat_gland', 'Muscle', 'Mucus']","[1727.0, 3311.0, 358.0, 2187.0, 0.0]"
18,"['Programmed_cell_death', 'Glia', 'Muscle', 'Urinary_System', 'Loose_connective_tissue']","[3010.0, 235.00000000000003, 2736.0, 986.0000000000001, 0.0]"
19,"['Urinary_catheterization', 'Protein', 'Mucous_membrane', 'Central_nervous_system', 'White_blood_cell']","[2677.0, 115.00000000000001, 1543.0, 847.0, 0.0]"
20,"['Spinal_nerve', 'Spleen', 'Blood_vessel', 'Stratum_corneum', 'Pulmonary_circulation']","[3216.0, 3007.0, 858.0, 786.0, 0.0]"
21,"['Central_nervous_system', 'Gland', 'Superior_vena_cava', 'Sympathetic_nervous_system', 'Mucus']","[3261.0, 1336.0, 2156.0, 1963.0000000000002, 0.0]"
22,"['Parathyroid_gland', 'Medulla_oblongata', 'Bacteria', 'Skeletal_formula', 'Human_reproductive_system']","[1270.0, 445.0, 2816.0, 1652.0, 0.0]"
23,"['Urinary_tract_obstruction', 'Anus', 'Pancreas', 'Human_digestive_system', 'Male_reproductive_system']","[1479.0, 1326.0, 3338.0, 1957.0000000000002, 0.0]"
24,"['Reproductive_coercion', 'Hair', 'Schwann_cell', 'Heart', 'Schwann_cell']","[1776.0, 2646.0, 206.0, 2819.0, 0.0]"
25,"['Keratin', 'Platelet', 'Heart', 'Heart', 'Skeletal_formula']","[3196.0, 3256.0, 3055.0, 522.0, 0.0]"
26,"['Integumentary_system', 'Urinary_System', 'Brain', 'Kidney', 'Jejunum']","[1316.0, 894.0, 1610.0, 2173.0, 0.0]"
27,"['Cecum', 'Kidney', 'Pulmonary_circulation', 'Axon', 'Nasal_cavity']","[3294.0, 1277.0, 3270.0, 1927.0000000000002, 0.0]"
28,"['Blood', 'Esophagus', 'Prefrontal_cortex', 'Bronchus', 'Cerebral_cortex']","[102.0, 3077.0, 418.0, 3445.0, 0.0]"
29,"['Coronary_circulation', 'Anus', 'Urination', 'Gallbladder', 'Spinal_cord']","[2451.0, 1337.0, 1206.0, 1935.0000000000002, 0.0]"
30,"['Nasal_cavity', 'Mammary_gland', 'Axial_skeleton', 'Jejunum', 'Pulmonary_alveolus']","[2359.0, 2993.0, 1757.0, 2696.0, 0.0]"
31,"['Larynx', 'Urinary_diversion', 'Urinary_tract_obstruction', 'Epidermis', 'Blood']","[3522.0, 110.0, 1072.0, 1285.0, 0.0]"
32,"['Motor_nerve', 'Great_vessels', 'Urinary_cast', 'Cecum', 'Peripheral_nervous_system']","[1229.0, 574.0, 2873.0, 91.0, 0.0]"
33,"['Atrium_(heart)', 'Pharynx', 'Langerhans_cell', 'Medulla_oblongata', 'Parasympathetic_nervous_system']","[644.0, 1257.0, 2469.0, 2444.0, 0.0]"
34,"['Epidermis', 'Parasympathetic_nervous_system', 'Merkel_cell', 'Spinal_nerve', 'Spleen']","[121.00000000000001, 1377.0, 3343.0, 900.0, 0.0]"
35,"['Urinary_System', 'Nervous_system', 'Muscle_relaxant', 'Pulmonary_circulation', 'Epithelium']","[2720.0, 3361.0, 984.0000000000001, 599.0, 0.0]"
36,"['Urinary_incontinence', 'Lymph_node', 'Stratum_spinosum', 'Pulmonary_pleurae', 'Artery']","[2396.0, 719.0, 895.0, 3054.0, 0.0]"
37,"['Epithelium', 'Bronchiole', 'Liver', 'Ileum', 'Skeleton_in_the_closet']","[3553.0, 1923.0000000000002, 714.0, 1286.0, 0.0]"
38,"['Hair', 'Pulmonary_pleurae', 'Great_vessels', 'Central_nervous_system', 'Nose']","[1752.0, 865.0, 3208.0, 496.00000000000006, 0.0]"
39,"['The_Skeleton_Key', 'Integumentary_system', 'Salivary_gland', 'Kidney', 'Keratinocyte']","[1255.0, 734.0, 534.0, 3412.0, 0.0]"
40,"['Tonsil', 'Skin', 'Nasal_cavity', 'Pulmonary_pleurae', 'Protein']","[472.00000000000006, 2626.0, 1964.0000000000002, 3489.0, 0.0]"
41,"['Parasympathetic_nervous_system', 'Synapse', 'Small_intestine', 'Subcutaneous_tissue', 'Bronchus']","[1933.0000000000002, 3540.0, 2608.0, 1796.0, 0.0]"
42,"['Pharynx', 'Gastrointestinal_tract', 'Ileum', 'Basement_membrane', 'Nutrient']","[260.0, 1276.0, 205.0, 3139.0, 0.0]"
43,"['Lung', 'Nutrient', 'Jejunum', 'Dendrite', 'Inferior_vena_cava']","[572.0, 1040.0, 95.0, 606.0, 0.0]"
44,"['Prostate', 'Urinary_retention', 'Urinary_incontinence', 'Tonsil', 'Protein']","[1810.0, 1418.0, 2973.0, 3373.0, 0.0]"
45,"['Human_skeleton', 'Nutrient', 'Liver', 'B_cell', 'Coronary_circulation']","[2401.0, 1287.0, 2420.0, 846.0, 0.0]"
46,"['Langerhans_cell', 'Salivary_gland', 'Gallbladder', 'Gastrointestinal_tract', 'Cardiac_muscle']","[992.0000000000001, 1386.0, 2618.0, 1878.0000000000002, 0.0]"
47,"['Mucus', 'Lymphatic_vessel', 'Blood_vessel', 'Reproductive_success', 'Nose']","[2900.0, 823.0, 3180.0, 2423.0, 0.0]"
